"Template-Type","Author-Name","Author-X-Name-First","Author-X-Name-Last","Title","Abstract","Journal","Pages","Issue","Volume","Year","Keywords","X-DOI","File-URL","File-Format","File-Restriction","Handle","Month","# input file"
"ReDIF-Article 1.0","Digby Waller","Digby","Waller","Estimating non-transparent military expenditures: The case of china (PRC)","Data limitations arising from non-transparency in military expenditure reporting impose significant constraints on economists studying country and comparative developments in this field. This article focuses on the case of China. It reviews the recent literature on China's military expenditure, examines the variance in published estimates, and identifies three factors which help explain the variance: budgetary falsification; non-budgeted PLA revenue; and the US dollar purchasing-power parity of the yuan. Conclusions emphasize important policy implications of such variance and suggest a more active role for defence economists in a field of research generating considerable attention from international relations scholars.","Defence and Peace Economics","225-241","2","8","1997","Chinese military expenditure, Regional security, Estimating, Purchasing-power parity,","10.1080/10430719708404877","http://www.tandfonline.com/doi/abs/10.1080/10430719708404877","text/html","Access to full text is restricted to subscribers.","RePEc:taf:defpea:v:8:y:1997:i:2:p:225-241",NA,NA
"ReDIF-Article 1.0","Bernard Udis, Selami Sezgin","Bernard, Selami","Udis, Sezgin","Book review","Todd Sandier and Keith Hartley, The Economics of Defense (Cambridge, England: Cambridge University Press, 1995). Suleyman Ozmucur, The Economics of Defense and the Peace Dividend in Turkey, Bo&#x11f;azici University Press, Istanbul, 1996, pp. 75, paperback, ISBN: 975-518-071-0.","Defence and Peace Economics","243-249","2","8","1997",NA,"10.1080/10430719708404878","http://www.tandfonline.com/doi/abs/10.1080/10430719708404878","text/html","Access to full text is restricted to subscribers.","RePEc:taf:defpea:v:8:y:1997:i:2:p:243-249",NA,NA
"ReDIF-Article 1.0","David Gold","David","Gold","Evaluating the trade-off between military spending and investment in the United States","Using tests of a single equation model and cointegration techniques, this paper finds no evidence of a long run trade-off, and some evidence of a short-run trade-off, between military spending and investment in post-World War II United States data. The short-run trade-off is confined to the 1949-1971 period, and may be the result of the sharp expansion and contraction of military outlays in connection with the Korean and Vietnam Wars. In addition, cointegration techniques are used to identify a possible long-run trade-off between military spending and consumption.","Defence and Peace Economics","251-266","3","8","1997","Military spending, Investment, Consumption, Trade-offs, Cointegration,","10.1080/10430719708404880","http://www.tandfonline.com/doi/abs/10.1080/10430719708404880","text/html","Access to full text is restricted to subscribers.","RePEc:taf:defpea:v:8:y:1997:i:3:p:251-266",NA,NA
"ReDIF-Article 1.0","Jordi Molas-Gallart","Jordi","Molas-Gallart","Country survey IX: Spain","From the early 1980s Spain embarked on a wide-ranging process of military reform, from organisational changes to defence industrial policies. Investment in military equipment was set to grow, policies were drawn up to foster the domestic defence industrial base, defence R&D rocketed, and Spain joined a myriad of international arms development programmes. Yet, by 1991 the process of reform had run out of steam. Expenditure planning proved unreliable, and firms suffered from sharp cutbacks in procurement expenditure. The model of defence industrial growth sketched in the mid-1980s had floundered. The Spanish case provides an example of how the quest to maximise defence procurement from domestic sources can fall victim to industrial and budgetary constraints. Spanish defence producers are now becoming increasingly intertwined with foreign defence companies.","Defence and Peace Economics","267-306","3","8","1997","Spain, Defence expenditure, Arms production, Defence industry,","10.1080/10430719708404882","http://www.tandfonline.com/doi/abs/10.1080/10430719708404882","text/html","Access to full text is restricted to subscribers.","RePEc:taf:defpea:v:8:y:1997:i:3:p:267-306",NA,NA
"ReDIF-Article 1.0","Gregory Hildebrandt","Gregory","Hildebrandt","Book review","Handbook of Defense Economics: Volume 1, Keith Hartley and Todd Sandler, Editors (Amsterdam: Elsevier, 1995), 606p.","Defence and Peace Economics","307-317","3","8","1997",NA,"10.1080/10430719708404883","http://www.tandfonline.com/doi/abs/10.1080/10430719708404883","text/html","Access to full text is restricted to subscribers.","RePEc:taf:defpea:v:8:y:1997:i:3:p:307-317",NA,NA
"ReDIF-Article 1.0","Todd Sandler","Todd","Sandler","The future challenges of NATO: An economic viewpoint","This article identifies and evaluates likely challenges facing NATO today and into the next millennium. These contingencies include ethnic-based civil wars in Europe, transnational terrorism, rogue states, increased world income inequality, out-of-area conflicts, and environmental and resource security. Using concepts and tools from collective action, I assess these challenges and suggest effective policies for addressing them. NATO still has a crucial role to play in maintaining world security in the post-Cold War era.","Defence and Peace Economics","319-353","4","8","1997","Post-Cold War era, Collective action, NATO challenges, NATO, Terrorism, Rogue states, Civil wars, Environmental security,","10.1080/10430719708404885","http://www.tandfonline.com/doi/abs/10.1080/10430719708404885","text/html","Access to full text is restricted to subscribers.","RePEc:taf:defpea:v:8:y:1997:i:4:p:319-353",NA,NA
"ReDIF-Article 1.0","Christos Kollias, Stelios Makrydakis","Christos, Stelios","Kollias, Makrydakis","Is there a Greek-Turkish arms race?: Evidence from cointegration and causality tests","Greece and Turkey are both members of NATO and are two of the principal players in the Balkan region. Their respective defence burdens (i.e. the share of military expenditure to GDP) are the highest in NATO. Their bilateral relations are marred by serious friction and conflict of interest and have on a number of occasions come close to an armed confrontation. Their strategic interaction and mutual weapons build-up has recently attracted the attention of researchers in the field testing the hypothesis of a Greek-Turkish arms race with conflicting results. This paper, using cointegration and causality tests, finds evidence of a systematic armaments competition between the two countries provided that a defence policy regime shift estimated to occur in 1985 is explicitly taken into consideration. This policy regime change is associated with the stagnation of defence spending in Greece owing to the gradual deterioration of Greek public finances over the last decade.","Defence and Peace Economics","355-379","4","8","1997","Greece, Turkey, Military spending, Arms racing, Granger causality, Cointegration, Structural breaks,","10.1080/10430719708404886","http://www.tandfonline.com/doi/abs/10.1080/10430719708404886","text/html","Access to full text is restricted to subscribers.","RePEc:taf:defpea:v:8:y:1997:i:4:p:355-379",NA,NA
"ReDIF-Article 1.0","Selami Sezgin","Selami","Sezgin","Country survey X: Defence spending in Turkey","This paper provides a country survey of the Turkish defence economy. Turkey is a member of NATO alliance and is strategically located between Europe and Middle East. Moreover, Turkey has a high defence burden and high economic growth. The first part of the survey presents a brief economic background of Turkey, its armed forces, the defence industry, its modernisation and trends in Turkish defence expenditure. The rest of the paper focuses on the relationships between defence spending and economic growth. The effect of defence spending on economic growth is econometrically estimated using a supply side model. Both externality effects and the size effect of defence spending are estimated for Turkey. The study concludes that defence expenditure stimulates economic growth while externalities from the defence sector to the rest of economy are negative for Turkey.","Defence and Peace Economics","381-409","4","8","1997","Turkey, Defence expenditure, Economic growth, Turkish defence industry,","10.1080/10430719708404887","http://www.tandfonline.com/doi/abs/10.1080/10430719708404887","text/html","Access to full text is restricted to subscribers.","RePEc:taf:defpea:v:8:y:1997:i:4:p:381-409",NA,NA
"ReDIF-Article 1.0","Peter Hall, Stefan Markowski, Douglas Thomson","Peter, Stefan, Douglas","Hall, Markowski, Thomson","Defence procurement and domestic industry: The Australian experience","Australia has been something of a laboratory for policy experiment aimed at developing and maintaining defence-related industry capability at an acceptable social cost. The issues that successive governments have aimed to address under the heading of 'defence self-reliance' include: public vs. private ownership; competition vs. restricted or sole sourcing; local content requirements; efficient contracting; procurement organisation; market penetration by multinational arms suppliers; technology transfer vs. indigenous R&D; offsets and countertrade; export facilitation; and the market testing of logistic support services. This paper presents and assesses the Australian experience and provides an overview of defence industry and procurement issues in the broader context of the Australian strategic policy of military self-reliance.","Defence and Peace Economics","137-165","1-2","9","1998","Defence procurement, Industry preparedness, Self-reliance, Industry policy, Competition, Contracting,","10.1080/10430719808404898","http://www.tandfonline.com/doi/abs/10.1080/10430719808404898","text/html","Access to full text is restricted to subscribers.","RePEc:taf:defpea:v:9:y:1998:i:1-2:p:137-165",NA,NA
"ReDIF-Article 1.0","Matthew Uttley","Matthew","Uttley","Book review","Martin, S. (ed.), The Economics of Offsets: Defence Procurement and Countertrade, (Reading: Harwood Academic Publishers), 1996, pp. xi, 417.","Defence and Peace Economics","167-169","1-2","9","1998",NA,"10.1080/10430719808404899","http://www.tandfonline.com/doi/abs/10.1080/10430719808404899","text/html","Access to full text is restricted to subscribers.","RePEc:taf:defpea:v:9:y:1998:i:1-2:p:167-169",NA,NA
"ReDIF-Article 1.0","Todd Sandier, Keith Hartley","Todd, Keith","Sandier, Hartley","Editorial announcement on the death of Mancur Olson","","Defence and Peace Economics","1-1","1-2","9","1998",NA,"10.1080/10430719808404890","http://www.tandfonline.com/doi/abs/10.1080/10430719808404890","text/html","Access to full text is restricted to subscribers.","RePEc:taf:defpea:v:9:y:1998:i:1-2:p:1-1",NA,NA
"ReDIF-Article 1.0","Stefan Markowski, Peter Hall","Stefan, Peter","Markowski, Hall","Foreword","","Defence and Peace Economics","1-2","1-2","9","1998",NA,"10.1080/10430719808404891","http://www.tandfonline.com/doi/abs/10.1080/10430719808404891","text/html","Access to full text is restricted to subscribers.","RePEc:taf:defpea:v:9:y:1998:i:1-2:p:1-2",NA,NA
"ReDIF-Article 1.0","Stefan Markowski, Peter Hall","Stefan, Peter","Markowski, Hall","Challenges of defence procurement","Defence procurement deals with products that are highly differentiated and its regulation is extremely complex. The 'defence organisation' and 'industry' are the two principal parties involved in procurement transactions. Domestic sourcing of defence materiel has long been encouraged in most countries in the name of 'self-reliance'. Thus, defence planners must determine not only their materiel requirements but also defence-related manufacturing and service capabilities needed in-country. But how much 'self-reliance' is feasible and desirable, especially in smaller countries? This paper provides an overview of issues and policy tools in defence procurement that reflect the experience of a number of small and medium size countries. Issues addressed include: changing user requirements, make-or-buy decisions, contracting, source selection, organisational structure, and international collaboration. These issues are reviewed against the background of global trends in defence spending, industry and trade.","Defence and Peace Economics","3-37","1-2","9","1998","Defence procurement, Defence-related industry, Industry preparedness, Make-or-buy decisions, Through-life support, Contracting, Source selection, Competition,","10.1080/10430719808404892","http://www.tandfonline.com/doi/abs/10.1080/10430719808404892","text/html","Access to full text is restricted to subscribers.","RePEc:taf:defpea:v:9:y:1998:i:1-2:p:3-37",NA,NA
"ReDIF-Article 1.0","Keith Hartley","Keith","Hartley","Defence procurement in the UK","This paper analyses the demand and supply sides of the UK defence market, including the Ministry of Defence (MoD) role as a major buyer and the UK defence industrial base. It explains MoD's competitive procurement policy and evaluates its results, problems and future prospects.","Defence and Peace Economics","39-61","1-2","9","1998","Collaboration, Competitive procurement policy, Contracting, UK defence industries, Defence industrial policy, Quadrilateral Armaments Agency, Review Board, Value for money,","10.1080/10430719808404893","http://www.tandfonline.com/doi/abs/10.1080/10430719808404893","text/html","Access to full text is restricted to subscribers.","RePEc:taf:defpea:v:9:y:1998:i:1-2:p:39-61",NA,NA
"ReDIF-Article 1.0","Jordi Molas-Gallart","Jordi","Molas-Gallart","Defence procurement as an industrial policy tool: The Spanish experience","The procurement of military systems may be used as a tool to achieve industrial objectives. Medium-sized industrialised countries have the choice of procuring foreign systems on the best economic terms available, or instead using defence procurement as a tool to build up domestic industrial and technological capabilities. The Spanish experience illustrates the difficulties in moving from a procurement approach that only occasionally considered industrial policy issues, to procedures that systematically attempted to use defence procurement to support domestic industries. The problems that emerged suggest the limits to using defence procurement as an industrial policy tool, and provide an indication of the range of feasible objectives attainable by the defence procurement policies of a middle-sized, industrialised country.","Defence and Peace Economics","63-81","1-2","9","1998","Arms procurement, Spain, Defence industry,","10.1080/10430719808404894","http://www.tandfonline.com/doi/abs/10.1080/10430719808404894","text/html","Access to full text is restricted to subscribers.","RePEc:taf:defpea:v:9:y:1998:i:1-2:p:63-81",NA,NA
"ReDIF-Article 1.0","Erik Dirksen","Erik","Dirksen","The defence-industry interface: The Dutch approach","The aim of this paper is to enhance understanding of the defence-industry interface in the Netherlands. It is structured as follows. First, the institutional context for the Netherlands' approach to industry involvement is described. Subsequent sections deal with key aspects of government strategic guidance, defence procurement practices, contracting issues, specific policy instruments, R&D, and international collaboration. The paper concludes with sections on current policy issues and future policy outlook.","Defence and Peace Economics","83-97","1-2","9","1998","Defence procurement, Procurement policy, Defence industry policy, Defence Technology policy, Defence offsets,","10.1080/10430719808404895","http://www.tandfonline.com/doi/abs/10.1080/10430719808404895","text/html","Access to full text is restricted to subscribers.","RePEc:taf:defpea:v:9:y:1998:i:1-2:p:83-97",NA,NA
"ReDIF-Article 1.0","Stefan Markowski","Stefan","Markowski","Switzerland - The pragmatic approach to defence procurement","The Swiss approach to defence procurement has a number of distinct features. With modest levels of defence-related R&D, military acquisitions tend to be limited to proven and durable systems offering the user reliable performance over time as well as plenty of scope for future upgrades and adaptations. Long term cost-effectiveness is the key driver of the procurement process with the resultant high ratio of accumulated (military) capital per soldier but a relatively small share of defence in GDP. The Defence Procurement Agency acts as 'the-cradle-to-the-grave' system manager (i.e. it manages both the acquisition process and subsequent through-life support and final disposal). There is a strong commitment to domestic industry with high levels of local content in procurement (in part as a result of offsets) and support for exports. There is also a commitment to a mix of private and public ownership with the latter increasingly exposed to commercial business practices and standards. Most contracts are fixed price with an agreed 'fair' rate of return on capital invested by contractors subject to cost, performance and profitability audits. 'Managed competition' combines a high degree of openness to international trade in key sectors of the economy with protected market niches.","Defence and Peace Economics","99-118","1-2","9","1998","Procurement, Defence-related industry, Defence technology, Competition, Contracting, Offsets, Systems management,","10.1080/10430719808404896","http://www.tandfonline.com/doi/abs/10.1080/10430719808404896","text/html","Access to full text is restricted to subscribers.","RePEc:taf:defpea:v:9:y:1998:i:1-2:p:99-118",NA,NA
"ReDIF-Article 1.0","Chinniah Manohara","Chinniah","Manohara","Defence procurement and industry policy - A Singapore perspective","This paper describes Singapore's defence procurement process policy and agencies tasked with purchasing goods and services for the Singapore's Ministry of Defence and the Singapore Armed Forces. It also outlines Singapore's defence industry and technology policies.","Defence and Peace Economics","119-136","1-2","9","1998","Procurement process, Procurement organisation, Competition and contracting, Industry policy, Technology policy,","10.1080/10430719808404897","http://www.tandfonline.com/doi/abs/10.1080/10430719808404897","text/html","Access to full text is restricted to subscribers.","RePEc:taf:defpea:v:9:y:1998:i:1-2:p:119-136",NA,NA
"ReDIF-Article 1.0","Michael Beenstock","Michael","Beenstock","Country survey XI: Defence and the Israeli economy","The literature on economic aspects of defence in Israel is critically reviewed by subject: measuring the defence burden, the determinants of defence spending, the effects of defence spending on the economy, and the military-industrial complex. An overview of the Israeli economy is provided, and some new econometric findings on the determinants of defence spending are presented. The paper concludes by addressing policy issues in the context of Israel's jubilee.","Defence and Peace Economics","171-222","3","9","1998","Defence economics, Israel, Cointegration,","10.1080/10430719808404901","http://www.tandfonline.com/doi/abs/10.1080/10430719808404901","text/html","Access to full text is restricted to subscribers.","RePEc:taf:defpea:v:9:y:1998:i:3:p:171-222",NA,NA
"ReDIF-Article 1.0","Paul Levine, Fotis Mouzakis, Ron Smith","Paul, Fotis, Ron","Levine, Mouzakis, Smith","Prices and quantities in the arms trade","There are two main sources of information about the Arms Trade, SIPRI and ACDA. These two sources give very different pictures of the evolution of the market, primarily because their measures are designed to capture conceptually different features. Although they are both expressed in constant dollars, the SIPRI series is designed to be a volume index of physical transfers, the ACDA series a constant price value index. Thus in principle, the ratio of the ACDA to SIPRI series should provide an implicit price index of arms; though in practice there are many measurement problems. In this paper, we discuss the basis of these indices and show that the ratio, the implicit price, not only looks plausible in the light of the evolution of the market, but has a significant negative effect on the demand for arms imports in an econometric equation.","Defence and Peace Economics","223-236","3","9","1998","Arms trade data, Demand for arms imports,","10.1080/10430719808404902","http://www.tandfonline.com/doi/abs/10.1080/10430719808404902","text/html","Access to full text is restricted to subscribers.","RePEc:taf:defpea:v:9:y:1998:i:3:p:223-236",NA,NA
"ReDIF-Article 1.0","Jerald Schiff, Sanjeev Gupta, Benedict Clements","Jerald, Sanjeev, Benedict","Schiff, Gupta, Clements","Worldwide military spending, 1990-95","The decline in military spending that began in the mid-1980s continued through 1995, and this decline was widespread both geographically and by level of development. Cuts in military spending appear to have potentially important implications for non-military spending and fiscal adjustment. In contrast to findings for previous periods, military spending has declined more than proportionately in those countries that have reduced total spending. Countries with Fund programs have reduced military spending more sharply than other developing countries, largely reflecting outcomes in the transition economies. Further, military spending appears to have been less resilient in program countries than other developing countries.","Defence and Peace Economics","237-281","3","9","1998","Military spending, Non-military spending, Crowding-out, Peace dividend,","10.1080/10430719808404903","http://www.tandfonline.com/doi/abs/10.1080/10430719808404903","text/html","Access to full text is restricted to subscribers.","RePEc:taf:defpea:v:9:y:1998:i:3:p:237-281",NA,NA
"ReDIF-Article 1.0","Manuel Ennes Ferreira, Carlos Barros","Manuel Ennes, Carlos","Ferreira, Barros","From war to economic recovery: Peace as a public good in Angola","After twenty years of civil war in Angola, and following the country's devastation, transition to a market economy and democracy has finally begun. The end of the war has prompted individual expectations of a real income rise. Within this context, the paper sets out to analyse the willingness of civil servants to help pay (wtp) for consolidation of a public good - peace - in Angola and to calculate the extent to which they are willing to accept (wta) government compensation should it fail to assure this public good. The model used is based on a subjective expected utility function and the sample is taken from high-ranking public administration staff. Results obtained permit one to determine and to interpret wtp and wta by age, sex, hierarchical position, income and number of military conscripts per family.","Defence and Peace Economics","283-297","3","9","1998","Angola, Military expenditures, Peace as a public good, CVM questionnaire, Willingness to pay, Willingness to accept,","10.1080/10430719808404904","http://www.tandfonline.com/doi/abs/10.1080/10430719808404904","text/html","Access to full text is restricted to subscribers.","RePEc:taf:defpea:v:9:y:1998:i:3:p:283-297",NA,NA
"ReDIF-Article 1.0","Fanny Coulomb","Fanny","Coulomb","Adam smith: A defence economist","For Smith, &#x201c;defence&#x201d; is presented as one of the three big areas requiring the &#x201c;expenses of the sovereign or Commonwealth&#x201d;, and therefore justifying state intervention in the economy, beside &#x201c;justice&#x201d; and &#x201c;public works and public institutions&#x201d;. Against the mercantilist thought, Smith considers that the process of liberalization is a condition of disarmament and peace. It supposes mainly the decolonization, the reduction of defence burden, the eradication of slavery, the denunciation of the mercantilist policy, and the international respect of free trade. Development is both a consequence of liberalization and the main cause of peace.","Defence and Peace Economics","299-316","3","9","1998","Adam Smith, Defence economics,","10.1080/10430719808404905","http://www.tandfonline.com/doi/abs/10.1080/10430719808404905","text/html","Access to full text is restricted to subscribers.","RePEc:taf:defpea:v:9:y:1998:i:3:p:299-316",NA,NA
"ReDIF-Article 1.0","Eric Brunat","Eric","Brunat","Introduction","","Defence and Peace Economics","317-320","4","9","1998",NA,"10.1080/10430719808404907","http://www.tandfonline.com/doi/abs/10.1080/10430719808404907","text/html","Access to full text is restricted to subscribers.","RePEc:taf:defpea:v:9:y:1998:i:4:p:317-320",NA,NA
