"doi","aims","primary_theme","secondary_theme"
"10.1080/10242694.2022.2100588","To describe the role of stakeholders in managing defence R&D funding and to evaluate the challenges faced in managing government defence R&D allocation for industrial and technological innovation in Malaysia.","Innovation, R&D, and Technology Transfer","Government Policy and Regulatory Impact"
"10.1080/10242694.2022.2079282","To investigate the relationship between dividend policy and earnings management in the U.S. aerospace and defence industry, providing evidence on how dividend policy affects earnings management, especially in a sector that has not been previously studied in this context.","Defense Industry Performance and Productivity","Case Studies and Comparative Analyses"
"10.1080/10242694.2022.2154926","To investigate the impact of the civil-military integration (CMI) reform policy on the performance of Chinese military enterprises, specifically examining how this policy influences the market value of these enterprises.","Government Policy and Regulatory Impact","Defense Industry Performance and Productivity"
"10.1080/10242694.2024.2349887","To examine the European Union's call for increased and more efficient defence spending, particularly in light of the Strategic Compass and the impact of the war in Ukraine.","Government Policy and Regulatory Impact","Military Expenditure and Economic Impact"
"10.1080/10242694.2023.2223017","To evaluate the sales performance of major European defence industries in comparison with other major international arms producers using a Benefit-of-the-Doubt (BoD) model via Data Envelopment Analysis (DEA).","Defense Industry Performance and Productivity","Case Studies and Comparative Analyses"
"10.1080/10242694.2024.2329865","The study aims to analyze the profitability (ROA) of US and European defense companies to determine the influence of various factors including past profitability, debt policy, size, and specialization in defense activities. It seeks to understand why US defense firms are, on average, more profitable than their European counterparts.","Defense Industry Performance and Productivity","Case Studies and Comparative Analyses"
"10.1080/10242694.2023.2180588","To study the dependency of the EU’s defence-industrial supply chain on non-EU entities and provide insights into the spectrum of strategic autonomy through dimensions of ownership, tender success, and supply chain participation.","Strategic Autonomy and Supply Chain Dependency","Competition, Consolidation, and Market Structure"
"10.1080/10242694.2023.2182869","The paper aims to discuss the grounds for a defence industrial policy adapted to the current stakes of international security, focusing on the need for an alternative approach to complement existing policies in order to foster innovation and competition while addressing evolving threats and operational needs.","Government Policy and Regulatory Impact","Innovation, R&D, and Technology Transfer"
"10.1080/10242694.2023.2271816","To measure and discuss the continuities and changes in the military aircraft procurement process in Europe, examining the influence of national preferences related to sovereignty, industrial issues, and strategic needs on procurement strategies.","Procurement Processes and Efficiency","Strategic Autonomy and Supply Chain Dependency"
"10.1080/10242694.2023.2185425","To provide an economic analysis and critique of European defence policy, focusing on the opportunities for more efficient spending and the challenges posed by political factors.","Government Policy and Regulatory Impact","Procurement Processes and Efficiency"
"10.1080/10242694.2024.2381784","To present and analyze global arms production trends while assessing the impact of the Ukraine war on global arms production.","Case Studies and Comparative Analyses","Military Expenditure and Economic Impact"
"10.1080/10242694.2023.2197308","The aim of the paper is to evaluate the effects of civilian, military, and dual R&D investments on the profitability of firms, particularly focusing on firms collaborating with the Spanish Ministry of Defence.","Innovation, R&D, and Technology Transfer","Defense Industry Performance and Productivity"
"10.1080/10242694.2023.2187931","To investigate the relationship between industry structure, aggregate R&D activity, and the quality level of innovation within the defence industry using a stochastic game model.","Innovation, R&D, and Technology Transfer","Competition, Consolidation, and Market Structure"
"10.1080/10242694.2024.2342043","The paper aims to determine the true size, growth, and composition of China's defense budget over two decades and compare it to that of the USA, using index number techniques to provide a clearer picture of China's real defense spending and purchasing power.","Military Expenditure and Economic Impact","Case Studies and Comparative Analyses"
